Ano,Empresa,Emissão,Série,Cód. CETIP,Valor
2017,BASF II,1ª,95-96-97,CRA01700001 CRA01700003 CRA01700004,R$ 66881000.00
2017,Produtores de Soja,1ª,150-151,CRA0170099G CRA0170099H,R$ 10000000.00
2017,Produtores de Soja,1ª,146,CRA017007PV,R$ 13000000.00
2017,Produtores de Soja,1ª,145,CRA017007KG,R$ 550000000.00
2017,Produtores de Soja,1ª,144,CRA017007KF,R$ 100000000.00
2017,BASF II,1ª,139-140-141,CRA017008ST CRA017008SU CRA017008SV,R$ 83070000.00
2017,Camil III,1ª,137,CRA0170099F,R$ 200000000.00
2017,Klabin II,1ª,135,CRA017009KJ,R$ 600000000.00
2017,Libra,1ª,138,CRA01700797,R$ 12350000.00
2017,Faber Castell,1ª,136,CRA017006MZ,R$ 65000000.00
2017,Ubyfol,1ª,126-127-128,CRA017003JT CRA017003JU CRA017003JV,R$ 26814335.26
2017,Agrodinamica,1ª,119-120-121,CRA017002MH CRA017002MI CRA017002MJ,R$ 10077009.58
2017,Grupo Colorado,1ª,124-125,CRA017004MS CRA017004MS CRA017004MT CRA017004MT,R$ 90000000.00
2017,Camil,1ª,117-118,CRA0170040J CRA0170040K,R$ 405000000.00
2017,JSL,1ª,116,CRA017003PD,R$ 270000000.00
2017,Agrícola Panorama,1ª,132-133-134,CRA0170058Z CRA017005EJ CRA017005EK,R$ 22244488.38
2017,Posto Ipiranga,1ª,114-115,CRA017002BD CRA017002BE,R$ 1012500000.00
2017,Usina Coruripe,1ª,122,CRA017002XL,R$ 67000000.00
2017,Usina Coruripe,1ª,99,CRA017000M9,R$ 135000000.00
2017,Klabin,1ª,105,CRA017000RT,R$ 845916000.00
2017,VLI,1ª,104,CRA017000B5,R$ 260000000.00
2016,Produtores de Soja,1ª,111,CRA0160002R,R$ 25000000.00
2016,Alcoeste,1ª,109-110,CRA0160002S CRA0160002U,R$ 30000000.00
2016,Produtores de Soja,1ª,106-107-108,CRA0160002N CRA0160002O CRA0160002P,R$ 19189000.00
2016,Agroseed's,1ª,102-103,CRA01600023 CRA01600024,R$ 10000000.00
2016,Produtores de Soja,1ª,101,CRA01600022,R$ 22000000.00
2016,Produtores de Soja,1ª,100,CRA0160001Z,R$ 12000000.00
2016,Camil,1ª,91-92,CRA0160001S CRA0160001T,R$ 402255000.00
2016,Fibria MS,1ª,93-94,CRA01600028 CRA01600029,R$ 1250000000.00
2016,Produtores de Soja,1ª,77,CRA01600002,R$ 3802292.10
2016,Faber Castell,1ª,78,CRA01600005,R$ 100000000.00
2016,Burguer King,1ª,79,CRA0160000I,R$ 202500000.00
2016,Fibria MS,1ª,80-81,CRA0160000W CRA0160000X,R$ 1350000000.00
2016,JSL,1ª,83,CRA0160000Z,R$ 200000000.00
2016,Suzano,1ª,84-85,CRA01600011 CRA01600012,R$ 300000000.00
2016,Agroseed's,1ª,86-87,CRA01600013 CRA01600014,R$ 11770000.00
2016,Produtores de Soja,1ª,88,CRA0160001F,R$ 50000000.00
2016,Fibria Celulose S.A.,1ª,89-90,CRA0160001G CRA0160001H,R$ 700000000.00
2016,Suzano,1ª,98,CRA0160001X,R$ 1000000000.00
2015,Produtores de Soja,1ª,66-67,CRA01500002 CRA01500005,R$ 40000000.00
2015,Suzano,1ª,68,CRA0150000C,R$ 675000000.00
2015,Cocred,1ª,69-70,CRA0150000E CRA0150000F,R$ 100000000.00
2015,Produtores de Soja,1ª,71,CRA01500009,R$ 4565183.46
2015,JSL,1ª,72,CRA0150000I,R$ 150000000.00
2015,Fibria MS,1ª,73,CRA0150000L,R$ 675000000.00
2015,Alcoeste,1ª,74,CRA0150000N,R$ 35000000.00
2015,Syngenta Proteção de Cultivos Ltda.,1ª,75-76,CRA0150000T CRA0150000U,R$ 372633000.00
2014,Produtores de Soja,1ª,56-57,CRA01400017 CRA01400018,R$ 3673000.00
2014,Cocred,1ª,58-59,CRA0140000G CRA0140000H,R$ 11506000.00
2014,Cocred,1ª,60-61,CRA0140000O CRA0140000P,R$ 18900000.00
2014,Produtores de Soja,1ª,62-63,CRA0140000S CRA0140000T,R$ 150000000.00
2014,Usina Rio Verde,1ª,64,CRA0140000U,R$ 4000000.00
2014,Produtores de Soja,1ª,65,CRA01400016,R$ 4640000.00
2013,Produtores de Soja,1ª,54-55,CRA0130000C CRA0130000D,R$ 150000000.00
2013,ETH Bio Participações S.A. / Odebrecht,1ª,53,CRA01300003,R$ 399900000.00
2013,Produtores de Soja,1ª,52,CRA01300001,R$ 3577679.63
2013,Produtores de Soja,1ª,50-51,13A00023666 13A00023897,R$ 17000000.00
2013,Produtores de Soja,1ª,48-49,13A00017068 13A00017167,R$ 150000000.00
2012,Usina São Francisco S.A. / Usina Uberaba S.A.,1ª,42-43,12J00037856 12J00037857,R$ 50000000.12
2012,Usina Monte Alegre Ltda. / Grupo Adecoagro,1ª,40-41,12G00012124 12G00011991,R$ 25802210.59
2011,Produtores de Soja,1ª,38-39,11F00048343 11F00048344,R$ 23595836.00
2011,Rice Company - Comércio de Cereais S.A.,1ª,37,ECOSCRA0037,R$ 100000000.00
2010,Produtores de Soja,1ª,36,10L00061571,R$ 12000000.00
2010,ETH Bio Participações S.A.,1ª,35,ECOSCRA0035,R$ 110000000.00
2010,Agro industrial Espírito Santo do Turvo - Agrest,1ª,34,ECOSCRA0011 ECOSCRA0012 ECOSCRA0013 ECOSCRA0014 ECOSCRA0015,R$ 12774715.10
2010,Produtores de Soja,1ª,31-32-33,ECOSCRA0031 ECOSCRA0032 ECOSCRA0033,R$ 17300000.00
2009,Agro industrial Espírito Santo do Turvo - Agrest,1ª,21-30,ECOSCRA0001 ECOSCRA0010,R$ 22320195.00
